innings,battingTeam,bowlingTeam,striker,bowler,overs,ballNumber,runsOffBat,extras,totalRunsOffBall,isWicket,cumRuns,totalWickets,strikerFinalScore,batterOut
1,IND,PAK,Jadeja,Amir,14.2,91,0,0,0,1,96,7,0(1),Jadeja
1,IND,PAK,Arshdeep Singh,Amir,14.3,92,0,0,0,0,96,7,9(13),
1,IND,PAK,Arshdeep Singh,Amir,14.4,93,1,0,1,0,97,7,9(13),
1,IND,PAK,Hardik Pandya,Amir,14.5,94,0,0,0,0,97,7,7(12),
1,IND,PAK,Hardik Pandya,Amir,14.6,95,0,0,0,0,97,7,7(12),
1,IND,PAK,Arshdeep Singh,Naseem Shah,15.1,96,0,0,0,0,97,7,9(13),
1,IND,PAK,Arshdeep Singh,Naseem Shah,15.2,97,1,0,1,0,98,7,9(13),
1,IND,PAK,Hardik Pandya,Naseem Shah,15.3,98,1,0,1,0,99,7,7(12),
1,IND,PAK,Arshdeep Singh,Naseem Shah,15.4,99,0,0,0,0,99,7,9(13),
1,IND,PAK,Arshdeep Singh,Naseem Shah,15.5,100,0,0,0,0,99,7,9(13),
1,IND,PAK,Arshdeep Singh,Naseem Shah,15.6,101,1,0,1,0,100,7,9(13),
1,IND,PAK,Arshdeep Singh,Amir,16.1,102,4,0,4,0,104,7,9(13),
1,IND,PAK,Arshdeep Singh,Amir,16.2,103,0,0,0,0,104,7,9(13),
1,IND,PAK,Arshdeep Singh,Amir,16.3,104,0,0,0,0,104,7,9(13),
1,IND,PAK,Arshdeep Singh,Amir,16.4,105,2,0,2,0,106,7,9(13),
1,IND,PAK,Arshdeep Singh,Amir,16.5,106,0,0,0,0,106,7,9(13),
1,IND,PAK,Arshdeep Singh,Amir,16.6,107,0,0,0,0,106,7,9(13),
1,IND,PAK,Hardik Pandya,Haris Rauf,17.1,108,4,0,4,0,110,7,7(12),
1,IND,PAK,Hardik Pandya,Haris Rauf,17.2,109,0,0,0,0,110,7,7(12),
1,IND,PAK,Hardik Pandya,Haris Rauf,17.3,110,2,0,2,0,112,7,7(12),
1,IND,PAK,Hardik Pandya,Haris Rauf,17.4,111,0,0,0,1,112,8,7(12),Hardik Pandya
1,IND,PAK,Bumrah,Haris Rauf,17.5,112,0,0,0,1,112,9,0(1),Bumrah
1,IND,PAK,Siraj,Haris Rauf,17.6,113,1,0,1,0,113,9,7(7),
1,IND,PAK,Siraj,Shaheen Afridi,18.1,114,2,0,2,0,115,9,7(7),
1,IND,PAK,Siraj,Shaheen Afridi,18.2,115,2,0,2,0,117,9,7(7),
1,IND,PAK,Siraj,Shaheen Afridi,18.3,116,2,0,2,0,119,9,7(7),
1,IND,PAK,Siraj,Shaheen Afridi,18.4,117,0,0,0,0,119,9,7(7),
1,IND,PAK,Siraj,Shaheen Afridi,18.5,118,0,0,0,0,119,9,7(7),
1,IND,PAK,arshdeep singh,Shaheen Afridi,18.6,119,0,0,0,1,119,10,9(13),arshdeep singh
2,PAK,IND,Rizwan,Arshdeep Singh,0.1,1,3,0,3,0,3,0,31(44),
2,PAK,IND,Babar Azam,Arshdeep Singh,0.2,2,3,0,3,0,6,0,13(10),
2,PAK,IND,Rizwan,Arshdeep Singh,0.3,3,1,0,1,0,7,0,31(44),
2,PAK,IND,Babar Azam,Arshdeep Singh,0.4,4,0,2,2,0,9,0,13(10),
2,PAK,IND,Rizwan,Arshdeep Singh,0.4,5,0,0,0,0,9,0,31(44),
2,PAK,IND,Rizwan,Arshdeep Singh,0.5,6,0,0,0,0,9,0,31(44),
2,PAK,IND,Rizwan,Arshdeep Singh,0.6,7,0,0,0,0,9,0,31(44),
2,PAK,IND,Babar Azam,Siraj,1.1,8,4,0,4,0,13,0,13(10),
2,PAK,IND,Babar Azam,Siraj,1.2,9,1,0,1,0,14,0,13(10),
2,PAK,IND,Rizwan,Siraj,1.3,10,0,0,0,0,14,0,31(44),
2,PAK,IND,Rizwan,Siraj,1.4,11,0,0,0,0,14,0,31(44),
2,PAK,IND,Rizwan,Siraj,1.5,12,0,0,0,0,14,0,31(44),
2,PAK,IND,Rizwan,Siraj,1.6,13,1,0,1,0,15,0,31(44),
2,PAK,IND,Rizwan,Bumrah,2.1,14,2,0,2,0,17,0,31(44),
2,PAK,IND,Rizwan,Bumrah,2.2,15,0,0,0,0,17,0,31(44),
2,PAK,IND,Rizwan,Bumrah,2.3,16,0,0,0,0,17,0,31(44),
